Species,Cholesterol.1,Desmosterol.1,X24Methylenecholesterol.1,Campesterol.1,Stigmasterol.1,Episterol.1,Sitosterol.1,Isofucosterol.1,Cycloartenol.1,Citrostradienol.1,Sitostanol.1,Campestanol.1,Cycloeucalenol.1,X31Norcycloartenol.1,X31Norcycloartanol.1,X2428MethyleneLophenol.1,X2428MethyleneCycloartanol.1,Pollinastanol.1,Schottenol.1,Lathosterol.1,X2425Dehydropollinastanol.1,Obtusifoliol.1,Epifungisterol,IsoObtusifoliol.1,X14MethylCholest8enol.1
Gesneria ventricosa,0.295972676,0,0.162194676,0.465572621,0.50299431,0,6.870101091,0.148424483,91.55474014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrocosmea,0.367872036,0,0.493061142,5.684922839,2.14970019,0,69.17952558,11.48982397,1.779349266,0.248301137,0.014877957,0.084878666,0.018091776,3.381395049,0.133168824,0.062320955,0.775332493,0.006982728,0.055553703,0,0,1.526673793,2.524042392,0.018862081,0.005263414
Petrocosmea cryptica,5.610147663,0,29.26401461,4.598688082,2.148903857,0,5.270735774,47.6861802,2.370686673,0,0,0,0,1.349788261,0,0.051820013,0.446592723,0.021854634,0.02046137,0,0,0.159819104,1.00030704,0,0
Philadelphus,0,0,0,0,0,0,14.55876253,0,25.27647161,2.028880779,0,0,0,20.2211774,0,37.91470769,0,0,0,0,0,0,0,0,0
Iris sibirica,0.118925412,0,0.8441737,0.496593693,0.524027108,0.805558638,1.757139999,9.730624615,77.03294084,8.690015995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamium album,5.41497645,0,0,4.741236927,1.774435492,0,47.33359185,39.01561019,1.720149086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamium maculatum,18.23097835,0,0,0,0,0,42.16946883,39.59955282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamium purpureum,8.277705608,0,8.222317914,6.52536051,0,0,53.2146872,23.75992877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlomis fruticosa,0.80481171,0,0.611020807,2.666227229,0.349948773,0,64.49952563,31.012454,0.056011846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plectranthus ernstii,0.338514243,0,56.53156965,7.848093337,0.649997014,17.14326742,4.546022455,11.37605613,0.880509355,0,0,0,0.005580441,0.105229206,0.242955831,0.10131981,0,0.061411635,0.025794021,0,0,0.044767733,0.077983727,0,0.020927992
Salvia darcyi,1.155654804,0,26.02268993,5.991398419,0.911043356,3.805748937,3.543718137,1.11766187,57.20669991,0.074175273,0,0.040454708,0,0,0.041178456,0.00559525,0.032453307,0,0.03533529,0,0,0.016192351,0,0,0
Salvia koyamae,0.65035892,2.769233111,8.716034037,7.426955345,1.281650059,3.694713948,14.83623513,43.49789639,1.079447908,11.84444533,0.038892238,0.052721453,0.008082684,0.355824974,0.251567473,0.055776794,0.275344677,0.009615487,2.111552046,0,0,0.056274076,0.611798182,0.361893825,0.013685903
Linum usitatissimum,2.59876954,0,25.33321522,29.71264145,0,0,22.01093913,20.34443467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon pictum,0.196108566,26.03592811,32.6347296,0.821191777,0.95517499,0.337399119,10.89838435,22.69061708,3.279822349,0.179955492,0.016834917,0.010565984,0.006157814,0.077842287,0.681485696,0.042055637,0.768432833,0.020810252,0.027147789,0.211015936,0.000564018,0.043179174,0.059442113,0.001823918,0.003330195
Alcea nudiflora,1.501967397,7.136101748,0,16.74259008,29.29361357,0,43.74114294,0,0.987962952,0,0,0,0,0.082884388,0,0.112649138,0.339663465,0,0,0,0,0,0.061424326,0,0
Alcea rosea,0.991915916,38.56309367,2.751654712,1.802689501,0.518022319,0.047164058,19.27839414,8.698139832,11.14289122,0,0,0,16.20603463,0,0,0,0,0,0,0,0,0,0,0,0
Alyogyne huegelii,0.184437982,0,68.33728432,2.468073529,0.806687654,0.231299372,10.68792628,14.38000932,0.116909605,0,0.008161221,0.008535172,0,1.117541157,0.010088959,0.046737901,0,0.16985052,0,0,0.577082667,0.000780043,0.838195156,0.010399141,0
Hibiscus syriacus,0.197360659,0,17.21016215,1.181646705,0.456209958,0,4.924009034,2.380465537,71.17547377,0.401365777,0,0,0,0.032937026,0.38966211,0,1.604595927,0,0.004367794,0,0.017334444,0,0.024409118,0,0
Malva moschata ,1.953106089,51.33259038,5.57173379,7.103875709,0,0,30.33216851,3.455034288,0.251491241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilia tomentosa,0.509021334,0,1.207321649,4.628802063,0.889303026,0,58.89353455,29.15507824,4.301828249,0,0,0,0,0.415110894,0,0,0,0,0,0,0,0,0,0,0
Eucalyptus perriniana,0,0,0,1.79011158,0,0,94.25857444,3.715881877,0.235432102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctaginaceae,2.603715053,74.14370205,6.034026747,9.362988099,3.10367322,0,4.232941523,0,0,0,0.198839014,0,0,0,0,0.187035275,0,0.04121472,0.091864301,0,0,0,0,0,0
Nymphaea alexii,0.07240096,0,37.71104864,2.644020437,2.773667764,8.081276744,3.391526798,43.38538434,1.741532599,0.199141719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nymphaea macrosperma,0.497705362,0,50.48345214,2.394123454,6.195941795,8.792768849,3.412414064,24.56914231,3.654452032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nymphoides indica,1.015341347,0,0,0,0,0,0,0.576395466,23.44522377,5.066675862,0,0,46.12594032,2.82981229,0,0,0,0,20.94061094,0,0,0,0,0,0
Epilobium hirsutum,0.281610911,0.098201777,62.16291292,1.590574444,0,0,2.733691458,32.74135246,0.391656032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuchsia,3.210778472,1.485313765,14.57511328,6.506770121,0.598724096,0,6.154810268,57.70520308,6.827289128,0,0,0,0,0.274635521,0.365783015,0.118708231,1.225183092,0.039773492,0.02421958,0.021117974,0.023872409,0.383434562,0.203528111,0,0.255741802
Ludwigia sedioides,0,0,79.80527991,5.169354568,0.317056684,1.856335053,3.319332241,8.07030258,1.462338962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oenothera biennis,0.189228773,0,96.74925109,1.001079534,0,0,0.760350467,0.498657055,0.801433083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalis gigantea,0.278923843,0.813201279,19.42740101,3.876907425,0.473717182,0,15.38181043,49.99793157,3.815355238,0.124265641,0.056093765,0.045024202,0.015553325,0.017306425,0.035327134,0.085382676,4.450677705,0.008103961,0.318015851,0,0.003022642,0.749879687,0.019333344,0.00676566,0
Paeonia delavayi,0.026888977,0,94.74234192,1.436082307,0,1.361433061,0.925333004,0.618439359,0.889481373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paeonia peregrina,0.013636361,0.071471197,96.49575844,0.544655573,0,1.17945988,0.397307487,0.349605968,0.948105093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicentra formosa,0.417072463,0,0.350381865,6.812865448,0,0,56.53532107,35.88435916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eschscholzia californica,0.189456844,0,71.80661921,4.045967857,1.871508719,0,3.010527674,16.77308415,2.302835539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucium flavum,0.363607272,0,76.95363733,8.805259579,1.438647441,1.286163737,6.018492878,5.134191766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamprocapnos spectabilis,0.084783369,0,0.120384838,3.099611701,0.502819681,0,54.20181276,41.24773292,0.268226163,0.474628568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papaver pseudo-orientale,4.364275635,2.475295747,32.77361835,12.3580907,0.276373725,3.534169987,11.77268953,31.40861814,0.888095456,0.14877273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papaver rhoeas,8.724559597,0.852459809,46.08038232,5.87596665,0.160394323,2.408853029,5.591892617,28.79512098,1.436013786,0.074356882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romneya coulteri,1.757571484,1.046236392,28.17029435,4.068862826,0.478894233,1.143904523,5.542929967,56.18874461,1.400425478,0.202136135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimulus aurantiacus,0.395893594,0,6.308512762,3.637203662,0,1.298584398,18.01759939,65.90884724,4.160150319,0.27320864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinus ayacahuite,0,0,0,22.8009498,4.694582138,0,69.76747201,2.550108565,0.186887484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digitalis purpurea,0.895067768,0,14.29330385,6.751915143,0.509497236,0,4.999534785,67.6887668,1.877210348,0,0,0,0,2.984704064,0,0,0,0,0,0,0,0,0,0,0
Penstemon,1.647719055,0,0,0,0,0,17.10902825,58.53452501,13.63701404,0,0,0,0,5.968232662,0,0,0,0,0,0,0,3.103480984,0,0,0
Polemonium caeruleum,0.110145858,0,0,0.275527463,0.095284237,0,1.635001987,0.061632621,17.45468388,7.567629331,0,0,0,0,0,17.54373433,0,0,38.57700705,0,0,16.67935325,0,0,0
Cyclamen africanum,0.263872974,0,1.039200055,6.69499039,25.44683394,0,34.88608016,0,6.674431051,0,0.549092051,0.25276868,0.014206165,0.237127156,0.423133051,2.839326631,2.567539592,0.865774434,14.50801937,0,0.022275535,0.031466368,1.359971847,1.231160924,0.092729625
Cyclamen graecum,1.035761109,0,2.393536082,11.039701,5.039044117,0,53.35872075,1.98397297,8.112326309,1.204834212,0.43663448,0.563572929,0.182987506,0.092631533,2.412319137,1.573518775,0,0,3.452022886,0,0,5.53039472,0.81357737,0.774444109,0
Primula verticillata,0.71277307,1.359578267,0,3.819283042,2.447889565,0,6.871191865,0,50.85764471,2.168472375,0,0,0.056656777,1.2836842,0.147615887,0.179950739,11.83320546,0,14.72361853,0,0,0.680970148,1.885877957,0.971587415,0
Helleborus foetidus,0.208858536,0,0,5.024815596,2.893261331,0,42.24368442,48.86909424,0.760285874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malus domestica,0.493916914,0,83.72885866,1.373376581,0.902108167,1.710857419,4.91286318,6.442181274,0.43583781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus avium,0.06492599,0,86.2108096,0.363531853,0.169271792,1.096574128,6.37848605,2.60005268,3.107251439,0.009096473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus spinosa,0,0,72.50065702,7.22337376,2.382294296,0,13.27487744,4.618797486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus fruticosus,0.505595802,57.33127547,24.32314395,1.261742107,2.996199426,0,8.977576953,3.823082383,0.781383907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salix cinerea,0.005511642,0,0.03792734,3.359554611,0.402511207,0,58.58034515,21.09249304,14.40481545,0.659332859,0,0,0,1.457508695,0,0,0,0,0,0,0,0,0,0,0
Buddleja davidii,1.482188843,83.49736908,6.026328292,0.188028723,1.409674211,0,0.964588404,5.769279385,0.662543067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verbascum arcturus,0.274435067,33.83424336,10.83635287,0.870181385,1.718809942,0.245936031,1.762755172,1.358709222,5.00385058,0.044047342,0.008660464,0.025382398,0.050975806,0.096640204,0.099690101,0.027344395,0.327595068,0.726507112,0.026396233,0.466267904,0,42.09776704,0.071618546,0,0.025833761
Brugmansia X candida,0.124021516,0,41.70684843,4.821926434,0.294154888,3.64990637,8.830482073,36.94521243,0.79902155,0.373567602,0.015820629,0.070338252,0.002742128,0.711683369,0.039214563,0.009461937,0.139229141,0.205223938,0.024653356,0,0,0.344640397,0.552106254,0.025666991,0.314077753
Brunfelsia jamaicensis,1.622155839,0,16.68511451,15.23058474,3.781058301,0,14.5755674,45.14658713,0,1.915920888,0,0.479769728,0,0.179676545,0,0.081980946,0,0,0.168428485,0,0,0,0.133155496,0,0
Solanum dulcamara,2.686398482,0,0,3.007972409,2.27936813,0,33.66671468,38.3304738,8.738458665,0,0,0,0,11.29061384,0,0,0,0,0,0,0,0,0,0,0
Strelitzia reginae,0.338033196,0,12.01262187,2.412672873,1.954711385,0.85506951,19.60307714,59.98473077,2.456171219,0.382912036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camellia sinensis,0.447163957,0.012296901,1.798097513,0.124008349,0.006319997,0.562361436,0.497363245,0.384491955,17.36009808,8.91165656,0.023233778,0.043991836,0.114899288,11.56289778,0.403469654,2.791808119,1.507298601,0.888988908,41.76121944,0.269283794,0.389170188,0.394804947,9.135320707,0.588672076,0.0210829
